case,date,arrivals,capacity,opening_backlog,completed_on_time,completed_late,closing_backlog,past_due_at_close
deduplicated_sensitivity_w6_a2_r40_d1,2023-08-24,2856,1088,2493,0,1088,4261,4261
deduplicated_sensitivity_w6_a2_r40_d1,2023-08-25,0,1088,4261,0,1088,3173,3173
deduplicated_sensitivity_w6_a2_r40_d1,2023-08-26,0,0,3173,0,0,3173,3173
deduplicated_sensitivity_w6_a2_r40_d1,2023-08-27,0,0,3173,0,0,3173,3173
deduplicated_sensitivity_w6_a2_r40_d1,2023-08-28,2483,1088,3173,0,1088,4568,4568
deduplicated_sensitivity_w6_a2_r40_d1,2023-08-29,615,1088,4568,0,1088,4095,4095
deduplicated_sensitivity_w6_a2_r40_d1,2023-08-30,1178,1088,4095,0,1088,4185,4185
deduplicated_sensitivity_w6_a2_r40_d1,2023-08-31,1595,1088,4185,0,1088,4692,4692
deduplicated_sensitivity_w6_a2_r40_d1,2023-09-01,1147,1088,4692,0,1088,4751,4751
deduplicated_sensitivity_w6_a2_r40_d1,2023-09-02,0,0,4751,0,0,4751,4751
deduplicated_sensitivity_w6_a2_r40_d1,2023-09-03,0,0,4751,0,0,4751,4751
deduplicated_sensitivity_w6_a2_r40_d1,2023-09-04,0,1088,4751,0,1088,3663,3663
deduplicated_sensitivity_w6_a2_r40_d1,2023-09-05,1323,1088,3663,0,1088,3898,3898
deduplicated_sensitivity_w6_a2_r40_d1,2023-09-06,826,1088,3898,0,1088,3636,3636
deduplicated_sensitivity_w6_a2_r40_d1,2023-09-07,802,1088,3636,0,1088,3350,3350
deduplicated_sensitivity_w6_a2_r40_d1,2023-09-08,375,1088,3350,0,1088,2637,2637
deduplicated_sensitivity_w6_a2_r40_d1,2023-09-09,0,0,2637,0,0,2637,2637
deduplicated_sensitivity_w6_a2_r40_d1,2023-09-10,490,0,2637,0,0,3127,2637
deduplicated_sensitivity_w6_a2_r40_d1,2023-09-11,0,1088,3127,0,1088,2039,2039
deduplicated_sensitivity_w6_a2_r40_d1,2023-09-12,2188,1088,2039,0,1088,3139,3139
deduplicated_sensitivity_w6_a2_r40_d1,2023-09-13,1403,1088,3139,0,1088,3454,3454
deduplicated_sensitivity_w6_a2_r40_d1,2023-09-14,0,1088,3454,0,1088,2366,2366
deduplicated_sensitivity_w6_a2_r40_d1,2023-09-15,0,1088,2366,0,1088,1278,1278
deduplicated_sensitivity_w6_a2_r40_d1,2023-09-16,0,0,1278,0,0,1278,1278
deduplicated_sensitivity_w6_a2_r40_d1,2023-09-17,515,0,1278,0,0,1793,1278
deduplicated_sensitivity_w6_a2_r40_d1,2023-09-18,32,1088,1793,0,1088,737,737
deduplicated_sensitivity_w6_a2_r40_d1,2023-09-19,3603,1088,737,351,737,3252,3252
deduplicated_sensitivity_w6_a2_r40_d1,2023-09-20,0,1088,3252,0,1088,2164,2164
deduplicated_sensitivity_w6_a2_r40_d1,2023-09-21,2785,1088,2164,0,1088,3861,3861
deduplicated_sensitivity_w6_a2_r40_d1,2023-09-22,0,1088,3861,0,1088,2773,2773
deduplicated_sensitivity_w6_a2_r40_d1,2023-09-23,0,0,2773,0,0,2773,2773
deduplicated_sensitivity_w6_a2_r40_d1,2023-09-24,0,0,2773,0,0,2773,2773
deduplicated_sensitivity_w6_a2_r40_d1,2023-09-25,2378,1088,2773,0,1088,4063,4063
deduplicated_sensitivity_w6_a2_r40_d1,2023-09-26,131,1088,4063,0,1088,3106,3106
deduplicated_sensitivity_w6_a2_r40_d1,2023-09-27,0,1088,3106,0,1088,2018,2018
deduplicated_sensitivity_w6_a2_r40_d1,2023-09-28,0,1088,2018,0,1088,930,930
deduplicated_sensitivity_w6_a2_r40_d1,2023-09-29,108,1088,930,108,930,0,0
deduplicated_sensitivity_w6_a2_r40_d1,2023-09-30,0,0,0,0,0,0,0
deduplicated_sensitivity_w6_a2_r40_d1,2023-10-01,0,0,0,0,0,0,0
deduplicated_sensitivity_w6_a2_r40_d1,2023-10-02,5347,1088,0,1088,0,4259,4259
deduplicated_sensitivity_w6_a2_r40_d1,2023-10-03,136,1088,4259,0,1088,3307,3307
deduplicated_sensitivity_w6_a2_r40_d1,2023-10-04,60,1088,3307,0,1088,2279,2279
deduplicated_sensitivity_w6_a2_r40_d1,2023-10-05,2341,1088,2279,0,1088,3532,3532
deduplicated_sensitivity_w6_a2_r40_d1,2023-10-06,1451,1088,3532,0,1088,3895,3895
deduplicated_sensitivity_w6_a2_r40_d1,2023-10-07,0,0,3895,0,0,3895,3895
