case,basis,workers,absent,present_workers,rate,service_days,arrivals,completed_on_time,completed_late,overdue_unfinished,pending_not_due,on_time_unit_share,target_met,peak_backlog,backlog_unit_days
deduplicated_sensitivity_w4_a0_r40_d2,deduplicated_sensitivity,4,0,4,40.0,2,215460,53696,161764,0,0,0.24921563167177202,False,7602,839713
deduplicated_sensitivity_w4_a0_r50_d1,deduplicated_sensitivity,4,0,4,50.0,1,215460,124089,91371,0,0,0.575925925925926,False,4550,160617
deduplicated_sensitivity_w4_a0_r50_d2,deduplicated_sensitivity,4,0,4,50.0,2,215460,191261,24199,0,0,0.8876868096166342,False,4550,160617
deduplicated_sensitivity_w4_a1_r30_d1,deduplicated_sensitivity,4,1,3,30.0,1,215460,612,137700,77148,0,0.0028404344193817877,False,89469,16198675
deduplicated_sensitivity_w4_a1_r30_d2,deduplicated_sensitivity,4,1,3,30.0,2,215460,1224,137088,77148,0,0.0056808688387635755,False,89469,16198675
deduplicated_sensitivity_w4_a1_r40_d1,deduplicated_sensitivity,4,1,3,40.0,1,215460,816,183600,31044,0,0.0037872458925090505,False,47746,8909551
deduplicated_sensitivity_w4_a1_r40_d2,deduplicated_sensitivity,4,1,3,40.0,2,215460,1826,182590,31044,0,0.008474890931031282,False,47746,8909551
deduplicated_sensitivity_w4_a1_r50_d1,deduplicated_sensitivity,4,1,3,50.0,1,215460,3124,212336,0,0,0.01449921099043906,False,12786,1774507
deduplicated_sensitivity_w4_a1_r50_d2,deduplicated_sensitivity,4,1,3,50.0,2,215460,19332,196128,0,0,0.08972431077694236,False,12786,1774507
deduplicated_sensitivity_w4_a2_r30_d1,deduplicated_sensitivity,4,2,2,30.0,1,215460,408,91800,123252,0,0.0018936229462545252,False,131412,23487799
deduplicated_sensitivity_w4_a2_r30_d2,deduplicated_sensitivity,4,2,2,30.0,2,215460,816,91392,123252,0,0.0037872458925090505,False,131412,23487799
deduplicated_sensitivity_w4_a2_r40_d1,deduplicated_sensitivity,4,2,2,40.0,1,215460,544,122400,92516,0,0.0025248305950060336,False,103409,18628383
deduplicated_sensitivity_w4_a2_r40_d2,deduplicated_sensitivity,4,2,2,40.0,2,215460,1088,121856,92516,0,0.005049661190012067,False,103409,18628383
deduplicated_sensitivity_w4_a2_r50_d1,deduplicated_sensitivity,4,2,2,50.0,1,215460,680,153000,61780,0,0.003156038243757542,False,75529,13768967
deduplicated_sensitivity_w4_a2_r50_d2,deduplicated_sensitivity,4,2,2,50.0,2,215460,1360,152320,61780,0,0.006312076487515084,False,75529,13768967
deduplicated_sensitivity_w5_a0_r30_d1,deduplicated_sensitivity,5,0,5,30.0,1,215460,3124,212336,0,0,0.01449921099043906,False,12786,1774507
deduplicated_sensitivity_w5_a0_r30_d2,deduplicated_sensitivity,5,0,5,30.0,2,215460,19332,196128,0,0,0.08972431077694236,False,12786,1774507
deduplicated_sensitivity_w5_a0_r40_d1,deduplicated_sensitivity,5,0,5,40.0,1,215460,124089,91371,0,0,0.575925925925926,False,4550,160617
deduplicated_sensitivity_w5_a0_r40_d2,deduplicated_sensitivity,5,0,5,40.0,2,215460,191261,24199,0,0,0.8876868096166342,False,4550,160617
deduplicated_sensitivity_w5_a0_r50_d1,deduplicated_sensitivity,5,0,5,50.0,1,215460,175538,39922,0,0,0.8147127076951638,False,4210,59773
deduplicated_sensitivity_w5_a0_r50_d2,deduplicated_sensitivity,5,0,5,50.0,2,215460,208569,6891,0,0,0.9680172653856864,True,4210,59773
deduplicated_sensitivity_w5_a1_r30_d1,deduplicated_sensitivity,5,1,4,30.0,1,215460,816,183600,31044,0,0.0037872458925090505,False,47746,8909551
deduplicated_sensitivity_w5_a1_r30_d2,deduplicated_sensitivity,5,1,4,30.0,2,215460,1826,182590,31044,0,0.008474890931031282,False,47746,8909551
deduplicated_sensitivity_w5_a1_r40_d1,deduplicated_sensitivity,5,1,4,40.0,1,215460,28685,186775,0,0,0.1331337603267428,False,7602,839713
deduplicated_sensitivity_w5_a1_r40_d2,deduplicated_sensitivity,5,1,4,40.0,2,215460,53696,161764,0,0,0.24921563167177202,False,7602,839713
deduplicated_sensitivity_w5_a1_r50_d1,deduplicated_sensitivity,5,1,4,50.0,1,215460,124089,91371,0,0,0.575925925925926,False,4550,160617
deduplicated_sensitivity_w5_a1_r50_d2,deduplicated_sensitivity,5,1,4,50.0,2,215460,191261,24199,0,0,0.8876868096166342,False,4550,160617
deduplicated_sensitivity_w5_a2_r30_d1,deduplicated_sensitivity,5,2,3,30.0,1,215460,612,137700,77148,0,0.0028404344193817877,False,89469,16198675
deduplicated_sensitivity_w5_a2_r30_d2,deduplicated_sensitivity,5,2,3,30.0,2,215460,1224,137088,77148,0,0.0056808688387635755,False,89469,16198675
deduplicated_sensitivity_w5_a2_r40_d1,deduplicated_sensitivity,5,2,3,40.0,1,215460,816,183600,31044,0,0.0037872458925090505,False,47746,8909551
deduplicated_sensitivity_w5_a2_r40_d2,deduplicated_sensitivity,5,2,3,40.0,2,215460,1826,182590,31044,0,0.008474890931031282,False,47746,8909551
