case_key,period,policy,basis,lead_days,demand_start,demand_end,cost_end,target_share,evidence,workers,absent,present_workers,rate,service_days,arrivals,completed_on_time,completed_late,overdue_unfinished,pending_not_due,on_time_unit_share,target_met,peak_backlog,backlog_unit_days,total_cost
full|extra0_ot0_temps2|deduplicated_sensitivity|30.0|0|3,full,extra0_ot0_temps2,deduplicated_sensitivity,3,2023-01-05,2023-10-19,2023-11-16,0.95,Hypothetical historical replay,6,0,6,30.0,2,215460,166827,48633,0,0,0.7742829295460875,False,4686,254712,240096.0
full|extra0_ot0_temps2|deduplicated_sensitivity|30.0|1|1,full,extra0_ot0_temps2,deduplicated_sensitivity,1,2023-01-05,2023-10-19,2023-11-16,0.95,Hypothetical historical replay,6,1,5,30.0,2,215460,168950,46510,0,0,0.784136266592407,False,4890,270830,277536.0
full|extra0_ot0_temps2|deduplicated_sensitivity|30.0|1|3,full,extra0_ot0_temps2,deduplicated_sensitivity,3,2023-01-05,2023-10-19,2023-11-16,0.95,Hypothetical historical replay,6,1,5,30.0,2,215460,77239,138221,0,0,0.3584841733964541,False,6138,568682,259296.0
full|extra0_ot0_temps2|deduplicated_sensitivity|30.0|2|1,full,extra0_ot0_temps2,deduplicated_sensitivity,1,2023-01-05,2023-10-19,2023-11-16,0.95,Hypothetical historical replay,6,2,4,30.0,2,215460,75319,140141,0,0,0.34957300659055046,False,5910,606728,314016.0
full|extra0_ot0_temps2|deduplicated_sensitivity|30.0|2|3,full,extra0_ot0_temps2,deduplicated_sensitivity,3,2023-01-05,2023-10-19,2023-11-16,0.95,Hypothetical historical replay,6,2,4,30.0,2,215460,15967,199493,0,0,0.07410656270305394,False,7866,1091017,307536.0
full|extra0_ot0_temps2|deduplicated_sensitivity|40.0|0|1,full,extra0_ot0_temps2,deduplicated_sensitivity,1,2023-01-05,2023-10-19,2023-11-16,0.95,Hypothetical historical replay,6,0,6,40.0,2,215460,210574,4886,0,0,0.9773229369720597,True,4278,56754,242736.0
full|extra0_ot0_temps2|deduplicated_sensitivity|40.0|0|3,full,extra0_ot0_temps2,deduplicated_sensitivity,3,2023-01-05,2023-10-19,2023-11-16,0.95,Hypothetical historical replay,6,0,6,40.0,2,215460,207265,8195,0,0,0.9619650979300102,True,4278,71957,238656.0
full|extra0_ot0_temps2|deduplicated_sensitivity|40.0|1|1,full,extra0_ot0_temps2,deduplicated_sensitivity,1,2023-01-05,2023-10-19,2023-11-16,0.95,Hypothetical historical replay,6,1,5,40.0,2,215460,206422,9038,0,0,0.9580525387542932,True,4550,119738,245856.0
full|extra0_ot0_temps2|deduplicated_sensitivity|40.0|1|3,full,extra0_ot0_temps2,deduplicated_sensitivity,3,2023-01-05,2023-10-19,2023-11-16,0.95,Hypothetical historical replay,6,1,5,40.0,2,215460,192083,23377,0,0,0.8915019029054116,False,4550,158877,239136.0
full|extra0_ot0_temps2|deduplicated_sensitivity|40.0|2|1,full,extra0_ot0_temps2,deduplicated_sensitivity,1,2023-01-05,2023-10-19,2023-11-16,0.95,Hypothetical historical replay,6,2,4,40.0,2,215460,193582,21878,0,0,0.8984591107398124,False,4822,200828,264336.0
full|extra0_ot0_temps2|deduplicated_sensitivity|40.0|2|3,full,extra0_ot0_temps2,deduplicated_sensitivity,3,2023-01-05,2023-10-19,2023-11-16,0.95,Hypothetical historical replay,6,2,4,40.0,2,215460,96971,118489,0,0,0.45006497725795974,False,5892,472957,246576.0
full|extra0_ot0_temps2|deduplicated_sensitivity|50.0|0|1,full,extra0_ot0_temps2,deduplicated_sensitivity,1,2023-01-05,2023-10-19,2023-11-16,0.95,Hypothetical historical replay,6,0,6,50.0,2,215460,213451,2009,0,0,0.9906757634827811,True,3870,28029,240096.0
full|extra0_ot0_temps2|deduplicated_sensitivity|50.0|0|3,full,extra0_ot0_temps2,deduplicated_sensitivity,3,2023-01-05,2023-10-19,2023-11-16,0.95,Hypothetical historical replay,6,0,6,50.0,2,215460,211844,3616,0,0,0.9832173025155482,True,3870,30205,238656.0
full|extra0_ot0_temps2|deduplicated_sensitivity|50.0|1|1,full,extra0_ot0_temps2,deduplicated_sensitivity,1,2023-01-05,2023-10-19,2023-11-16,0.95,Hypothetical historical replay,6,1,5,50.0,2,215460,211436,4024,0,0,0.9813236795692936,True,4210,48398,241296.0
full|extra0_ot0_temps2|deduplicated_sensitivity|50.0|1|3,full,extra0_ot0_temps2,deduplicated_sensitivity,3,2023-01-05,2023-10-19,2023-11-16,0.95,Hypothetical historical replay,6,1,5,50.0,2,215460,208569,6891,0,0,0.9680172653856864,True,4210,59773,238656.0
full|extra0_ot0_temps2|deduplicated_sensitivity|50.0|2|1,full,extra0_ot0_temps2,deduplicated_sensitivity,1,2023-01-05,2023-10-19,2023-11-16,0.95,Hypothetical historical replay,6,2,4,50.0,2,215460,207753,7707,0,0,0.9642300194931774,True,4550,112983,245376.0
full|extra0_ot0_temps2|deduplicated_sensitivity|50.0|2|3,full,extra0_ot0_temps2,deduplicated_sensitivity,3,2023-01-05,2023-10-19,2023-11-16,0.95,Hypothetical historical replay,6,2,4,50.0,2,215460,192137,23323,0,0,0.8917525294718277,False,4550,158606,239136.0
full|extra0_ot0_temps4|retained|30.0|0|1,full,extra0_ot0_temps4,retained,1,2023-01-05,2023-10-19,2023-11-16,0.95,Hypothetical historical replay,6,0,6,30.0,2,228195,216355,11840,0,0,0.9481145511514275,False,4687,173442,268896.0
full|extra0_ot0_temps4|retained|30.0|0|3,full,extra0_ot0_temps4,retained,3,2023-01-05,2023-10-19,2023-11-16,0.95,Hypothetical historical replay,6,0,6,30.0,2,228195,142338,85857,0,0,0.6237559981594689,False,4687,365520,242016.0
full|extra0_ot0_temps4|retained|30.0|1|1,full,extra0_ot0_temps4,retained,1,2023-01-05,2023-10-19,2023-11-16,0.95,Hypothetical historical replay,6,1,5,30.0,2,228195,201878,26317,0,0,0.8846731961699423,False,4891,244152,297216.0
full|extra0_ot0_temps4|retained|30.0|1|3,full,extra0_ot0_temps4,retained,3,2023-01-05,2023-10-19,2023-11-16,0.95,Hypothetical historical replay,6,1,5,30.0,2,228195,42785,185410,0,0,0.18749315278599443,False,5853,704258,273696.0
full|extra0_ot0_temps4|retained|30.0|2|1,full,extra0_ot0_temps4,retained,1,2023-01-05,2023-10-19,2023-11-16,0.95,Hypothetical historical replay,6,2,4,30.0,2,228195,174163,54032,0,0,0.7632200530248252,False,5095,331493,340176.0
full|extra0_ot0_temps4|retained|30.0|2|3,full,extra0_ot0_temps4,retained,3,2023-01-05,2023-10-19,2023-11-16,0.95,Hypothetical historical replay,6,2,4,30.0,2,228195,21627,206568,0,0,0.09477420627095247,False,6804,884329,327216.0
