basis,rate,policy,date,arrivals,capacity,extra_paid_hours,opening_backlog,completed,closing_backlog,unused_capacity,oldest_backlog_days
retained,30,carryover,2023-10-30,0,1224,0,0,0,0,1224,0
retained,30,carryover,2023-10-31,0,1224,0,0,0,0,1224,0
retained,30,carryover,2023-11-01,0,1224,0,0,0,0,1224,0
retained,30,carryover,2023-11-02,0,1224,0,0,0,0,1224,0
retained,30,overtime,2023-01-05,2254,1530,12,0,1530,724,0,0
retained,30,overtime,2023-01-06,1556,1530,12,724,1530,750,0,0
retained,30,overtime,2023-01-07,0,0,0,750,0,750,0,1
retained,30,overtime,2023-01-08,0,0,0,750,0,750,0,2
retained,30,overtime,2023-01-09,1374,1530,12,750,1530,594,0,0
retained,30,overtime,2023-01-10,1551,1530,12,594,1530,615,0,0
retained,30,overtime,2023-01-11,807,1530,12,615,1422,0,108,0
retained,30,overtime,2023-01-12,1897,1530,12,0,1530,367,0,0
retained,30,overtime,2023-01-13,660,1224,0,367,1027,0,197,0
retained,30,overtime,2023-01-14,0,0,0,0,0,0,0,0
retained,30,overtime,2023-01-15,0,0,0,0,0,0,0,0
retained,30,overtime,2023-01-16,885,1224,0,0,885,0,339,0
retained,30,overtime,2023-01-17,997,1224,0,0,997,0,227,0
retained,30,overtime,2023-01-18,1909,1530,12,0,1530,379,0,0
retained,30,overtime,2023-01-19,250,1224,0,379,629,0,595,0
retained,30,overtime,2023-01-20,321,1224,0,0,321,0,903,0
retained,30,overtime,2023-01-21,0,0,0,0,0,0,0,0
retained,30,overtime,2023-01-22,0,0,0,0,0,0,0,0
retained,30,overtime,2023-01-23,856,1224,0,0,856,0,368,0
retained,30,overtime,2023-01-24,563,1224,0,0,563,0,661,0
retained,30,overtime,2023-01-25,2819,1530,12,0,1530,1289,0,0
retained,30,overtime,2023-01-26,871,1530,12,1289,1530,630,0,0
retained,30,overtime,2023-01-27,731,1530,12,630,1361,0,169,0
retained,30,overtime,2023-01-28,0,0,0,0,0,0,0,0
retained,30,overtime,2023-01-29,0,0,0,0,0,0,0,0
retained,30,overtime,2023-01-30,1083,1224,0,0,1083,0,141,0
retained,30,overtime,2023-01-31,1023,1224,0,0,1023,0,201,0
retained,30,overtime,2023-02-01,278,1224,0,0,278,0,946,0
retained,30,overtime,2023-02-02,1293,1530,12,0,1293,0,237,0
retained,30,overtime,2023-02-03,662,1224,0,0,662,0,562,0
retained,30,overtime,2023-02-04,0,0,0,0,0,0,0,0
retained,30,overtime,2023-02-05,0,0,0,0,0,0,0,0
retained,30,overtime,2023-02-06,1526,1530,12,0,1526,0,4,0
retained,30,overtime,2023-02-07,854,1224,0,0,854,0,370,0
retained,30,overtime,2023-02-08,975,1224,0,0,975,0,249,0
retained,30,overtime,2023-02-09,1707,1530,12,0,1530,177,0,0
retained,30,overtime,2023-02-10,462,1224,0,177,639,0,585,0
retained,30,overtime,2023-02-11,0,0,0,0,0,0,0,0
retained,30,overtime,2023-02-12,0,0,0,0,0,0,0,0
retained,30,overtime,2023-02-13,1306,1530,12,0,1306,0,224,0
retained,30,overtime,2023-02-14,638,1224,0,0,638,0,586,0
retained,30,overtime,2023-02-15,384,1224,0,0,384,0,840,0
retained,30,overtime,2023-02-16,2383,1530,12,0,1530,853,0,0
retained,30,overtime,2023-02-17,0,1224,0,853,853,0,371,0
retained,30,overtime,2023-02-18,0,0,0,0,0,0,0,0
retained,30,overtime,2023-02-19,1920,0,0,0,0,1920,0,0
retained,30,overtime,2023-02-20,0,1530,12,1920,1530,390,0,1
retained,30,overtime,2023-02-21,1943,1530,12,390,1530,803,0,0
retained,30,overtime,2023-02-22,1414,1530,12,803,1530,687,0,0
retained,30,overtime,2023-02-23,1907,1530,12,687,1530,1064,0,0
retained,30,overtime,2023-02-24,1163,1530,12,1064,1530,697,0,0
retained,30,overtime,2023-02-25,0,0,0,697,0,697,0,1
retained,30,overtime,2023-02-26,0,0,0,697,0,697,0,2
retained,30,overtime,2023-02-27,1496,1530,12,697,1530,663,0,0
retained,30,overtime,2023-02-28,1134,1530,12,663,1530,267,0,0
retained,30,overtime,2023-03-01,227,1224,0,267,494,0,730,0
retained,30,overtime,2023-03-02,2495,1530,12,0,1530,965,0,0
retained,30,overtime,2023-03-03,709,1530,12,965,1530,144,0,0
retained,30,overtime,2023-03-04,0,0,0,144,0,144,0,1
retained,30,overtime,2023-03-05,0,0,0,144,0,144,0,2
retained,30,overtime,2023-03-06,1586,1530,12,144,1530,200,0,0
retained,30,overtime,2023-03-07,479,1224,0,200,679,0,545,0
retained,30,overtime,2023-03-08,1729,1530,12,0,1530,199,0,0
retained,30,overtime,2023-03-09,1078,1530,12,199,1277,0,253,0
retained,30,overtime,2023-03-10,382,1224,0,0,382,0,842,0
retained,30,overtime,2023-03-11,0,0,0,0,0,0,0,0
retained,30,overtime,2023-03-12,437,0,0,0,0,437,0,0
retained,30,overtime,2023-03-13,0,1224,0,437,437,0,787,0
retained,30,overtime,2023-03-14,1656,1530,12,0,1530,126,0,0
retained,30,overtime,2023-03-15,384,1224,0,126,510,0,714,0
retained,30,overtime,2023-03-16,1518,1530,12,0,1518,0,12,0
retained,30,overtime,2023-03-17,2400,1530,12,0,1530,870,0,0
retained,30,overtime,2023-03-18,0,0,0,870,0,870,0,1
retained,30,overtime,2023-03-19,0,0,0,870,0,870,0,2
retained,30,overtime,2023-03-20,0,1224,0,870,870,0,354,0
retained,30,overtime,2023-03-21,0,1224,0,0,0,0,1224,0
retained,30,overtime,2023-03-22,5911,1530,12,0,1530,4381,0,0
retained,30,overtime,2023-03-23,0,1530,12,4381,1530,2851,0,1
retained,30,overtime,2023-03-24,0,1530,12,2851,1530,1321,0,2
retained,30,overtime,2023-03-25,0,0,0,1321,0,1321,0,3
retained,30,overtime,2023-03-26,0,0,0,1321,0,1321,0,4
retained,30,overtime,2023-03-27,1277,1530,12,1321,1530,1068,0,0
retained,30,overtime,2023-03-28,102,1224,0,1068,1170,0,54,0
retained,30,overtime,2023-03-29,3482,1530,12,0,1530,1952,0,0
retained,30,overtime,2023-03-30,0,1530,12,1952,1530,422,0,1
retained,30,overtime,2023-03-31,0,1224,0,422,422,0,802,0
retained,30,overtime,2023-04-01,0,0,0,0,0,0,0,0
retained,30,overtime,2023-04-02,0,0,0,0,0,0,0,0
retained,30,overtime,2023-04-03,3072,1530,12,0,1530,1542,0,0
retained,30,overtime,2023-04-04,1432,1530,12,1542,1530,1444,0,1
retained,30,overtime,2023-04-05,808,1530,12,1444,1530,722,0,0
retained,30,overtime,2023-04-06,909,1530,12,722,1530,101,0,0
retained,30,overtime,2023-04-07,0,1224,0,101,101,0,1123,0
retained,30,overtime,2023-04-08,0,0,0,0,0,0,0,0
retained,30,overtime,2023-04-09,0,0,0,0,0,0,0,0
retained,30,overtime,2023-04-10,0,1224,0,0,0,0,1224,0
retained,30,overtime,2023-04-11,1284,1530,12,0,1284,0,246,0
retained,30,overtime,2023-04-12,0,1224,0,0,0,0,1224,0
retained,30,overtime,2023-04-13,3489,1530,12,0,1530,1959,0,0
retained,30,overtime,2023-04-14,0,1530,12,1959,1530,429,0,1
retained,30,overtime,2023-04-15,0,0,0,429,0,429,0,2
retained,30,overtime,2023-04-16,0,0,0,429,0,429,0,3
retained,30,overtime,2023-04-17,2661,1530,12,429,1530,1560,0,0
retained,30,overtime,2023-04-18,513,1530,12,1560,1530,543,0,1
retained,30,overtime,2023-04-19,1325,1530,12,543,1530,338,0,0
retained,30,overtime,2023-04-20,878,1224,0,338,1216,0,8,0
retained,30,overtime,2023-04-21,497,1224,0,0,497,0,727,0
retained,30,overtime,2023-04-22,0,0,0,0,0,0,0,0
retained,30,overtime,2023-04-23,0,0,0,0,0,0,0,0
retained,30,overtime,2023-04-24,1800,1530,12,0,1530,270,0,0
retained,30,overtime,2023-04-25,819,1224,0,270,1089,0,135,0
retained,30,overtime,2023-04-26,1591,1530,12,0,1530,61,0,0
retained,30,overtime,2023-04-27,327,1224,0,61,388,0,836,0
retained,30,overtime,2023-04-28,432,1224,0,0,432,0,792,0
retained,30,overtime,2023-04-29,0,0,0,0,0,0,0,0
retained,30,overtime,2023-04-30,0,0,0,0,0,0,0,0
retained,30,overtime,2023-05-01,986,1224,0,0,986,0,238,0
retained,30,overtime,2023-05-02,1145,1224,0,0,1145,0,79,0
retained,30,overtime,2023-05-03,1466,1530,12,0,1466,0,64,0
retained,30,overtime,2023-05-04,2698,1530,12,0,1530,1168,0,0
retained,30,overtime,2023-05-05,930,1530,12,1168,1530,568,0,0
retained,30,overtime,2023-05-06,0,0,0,568,0,568,0,1
retained,30,overtime,2023-05-07,0,0,0,568,0,568,0,2
retained,30,overtime,2023-05-08,2298,1530,12,568,1530,1336,0,0
retained,30,overtime,2023-05-09,1881,1530,12,1336,1530,1687,0,0
retained,30,overtime,2023-05-10,0,1530,12,1687,1530,157,0,1
retained,30,overtime,2023-05-11,1986,1530,12,157,1530,613,0,0
retained,30,overtime,2023-05-12,744,1530,12,613,1357,0,173,0
retained,30,overtime,2023-05-13,0,0,0,0,0,0,0,0
retained,30,overtime,2023-05-14,0,0,0,0,0,0,0,0
retained,30,overtime,2023-05-15,1049,1224,0,0,1049,0,175,0
retained,30,overtime,2023-05-16,3822,1530,12,0,1530,2292,0,0
retained,30,overtime,2023-05-17,0,1530,12,2292,1530,762,0,1
retained,30,overtime,2023-05-18,1999,1530,12,762,1530,1231,0,0
retained,30,overtime,2023-05-19,1526,1530,12,1231,1530,1227,0,0
retained,30,overtime,2023-05-20,0,0,0,1227,0,1227,0,1
retained,30,overtime,2023-05-21,0,0,0,1227,0,1227,0,2
retained,30,overtime,2023-05-22,0,1530,12,1227,1227,0,303,0
retained,30,overtime,2023-05-23,1866,1530,12,0,1530,336,0,0
retained,30,overtime,2023-05-24,0,1224,0,336,336,0,888,0
retained,30,overtime,2023-05-25,1869,1530,12,0,1530,339,0,0
retained,30,overtime,2023-05-26,1358,1530,12,339,1530,167,0,0
