policy,basis,extra_workers,ot_limit,temp_limit,lead_days,workers,absent,present_workers,rate,service_days,arrivals,completed_on_time,completed_late,overdue_unfinished,pending_not_due,on_time_unit_share,target_met,peak_backlog,backlog_unit_days,regular_cost,overtime_cost,temporary_cost,committed_future_temp_shifts,committed_future_temp_cost,total_cost,overtime_paid_hours,temporary_shifts
extra0_ot2_temps0,retained,0,2,0,1,6,1,5,50.0,2,228195,223783,4412,0,0,0.980665658756765,True,4211,63907,238656.0,2475.0,0.0,0,0,241131.0,75,0
extra0_ot2_temps0,retained,0,2,0,3,6,1,5,50.0,2,228195,223783,4412,0,0,0.980665658756765,True,4211,63907,238656.0,2475.0,0.0,0,0,241131.0,75,0
extra0_ot2_temps0,retained,0,2,0,1,6,2,4,50.0,2,228195,214814,13381,0,0,0.9413615548105787,False,4551,159388,238656.0,6402.0,0.0,0,0,245058.0,194,0
extra0_ot2_temps0,retained,0,2,0,3,6,2,4,50.0,2,228195,214814,13381,0,0,0.9413615548105787,False,4551,159388,238656.0,6402.0,0.0,0,0,245058.0,194,0
extra0_ot2_temps0,deduplicated_sensitivity,0,2,0,1,6,0,6,30.0,2,215460,197757,17703,0,0,0.9178362573099416,False,4686,171237,238656.0,13563.0,0.0,0,0,252219.0,411,0
extra0_ot2_temps0,deduplicated_sensitivity,0,2,0,3,6,0,6,30.0,2,215460,197757,17703,0,0,0.9178362573099416,False,4686,171237,238656.0,13563.0,0.0,0,0,252219.0,411,0
extra0_ot2_temps0,deduplicated_sensitivity,0,2,0,1,6,1,5,30.0,2,215460,154445,61015,0,0,0.7168151861134318,False,4890,309541,238656.0,30030.0,0.0,0,0,268686.0,910,0
extra0_ot2_temps0,deduplicated_sensitivity,0,2,0,3,6,1,5,30.0,2,215460,154445,61015,0,0,0.7168151861134318,False,4890,309541,238656.0,30030.0,0.0,0,0,268686.0,910,0
extra0_ot2_temps0,deduplicated_sensitivity,0,2,0,1,6,2,4,30.0,2,215460,12905,202555,0,0,0.05989510814072217,False,13449,1950304,238656.0,54978.0,0.0,0,0,293634.0,1666,0
extra0_ot2_temps0,deduplicated_sensitivity,0,2,0,3,6,2,4,30.0,2,215460,12905,202555,0,0,0.05989510814072217,False,13449,1950304,238656.0,54978.0,0.0,0,0,293634.0,1666,0
extra0_ot2_temps0,deduplicated_sensitivity,0,2,0,1,6,0,6,40.0,2,215460,210439,5021,0,0,0.9766963705560197,True,4278,57430,238656.0,2970.0,0.0,0,0,241626.0,90,0
extra0_ot2_temps0,deduplicated_sensitivity,0,2,0,3,6,0,6,40.0,2,215460,210439,5021,0,0,0.9766963705560197,True,4278,57430,238656.0,2970.0,0.0,0,0,241626.0,90,0
extra0_ot2_temps0,deduplicated_sensitivity,0,2,0,1,6,1,5,40.0,2,215460,205193,10267,0,0,0.9523484637519726,True,4550,125868,238656.0,5247.0,0.0,0,0,243903.0,159,0
extra0_ot2_temps0,deduplicated_sensitivity,0,2,0,3,6,1,5,40.0,2,215460,205193,10267,0,0,0.9523484637519726,True,4550,125868,238656.0,5247.0,0.0,0,0,243903.0,159,0
extra0_ot2_temps0,deduplicated_sensitivity,0,2,0,1,6,2,4,40.0,2,215460,174396,41064,0,0,0.8094124199387357,False,4822,248119,238656.0,18381.0,0.0,0,0,257037.0,557,0
extra0_ot2_temps0,deduplicated_sensitivity,0,2,0,3,6,2,4,40.0,2,215460,174396,41064,0,0,0.8094124199387357,False,4822,248119,238656.0,18381.0,0.0,0,0,257037.0,557,0
